date,utm_source,utm_medium,utm_campaign,cost
2023-03-01T10:54:41,google,cpc,advanced_algorithms_series,212
2023-03-02T10:32:35,google,cpc,advanced_algorithms_series,252
2023-03-03T19:21:40,google,cpc,advanced_algorithms_series,202
2023-03-04T17:52:04,google,cpc,advanced_algorithms_series,223
2023-03-05T05:35:13,google,cpc,advanced_algorithms_series,265
2023-03-06T12:09:59,google,cpc,advanced_algorithms_series,108
2023-03-07T16:24:29,google,cpc,advanced_algorithms_series,165
2023-03-08T13:11:34,google,cpc,advanced_algorithms_series,155
2023-03-09T23:08:10,google,cpc,advanced_algorithms_series,124
2023-03-10T19:39:55,google,cpc,advanced_algorithms_series,276
2023-03-11T01:45:31,google,cpc,advanced_algorithms_series,105
2023-03-12T16:46:39,google,cpc,advanced_algorithms_series,239
2023-03-13T03:30:13,google,cpc,advanced_algorithms_series,283
2023-03-14T03:41:43,google,cpc,advanced_algorithms_series,100
2023-03-15T14:39:46,google,cpc,advanced_algorithms_series,115
2023-03-25T01:33:20,yandex,cpc,virtual_reality_workshop,293
2023-03-26T00:08:59,yandex,cpc,virtual_reality_workshop,298
2023-03-27T07:01:57,yandex,cpc,virtual_reality_workshop,121
2023-03-28T18:54:36,yandex,cpc,virtual_reality_workshop,203
2023-03-29T12:22:19,yandex,cpc,virtual_reality_workshop,246
2023-03-30T08:14:35,yandex,cpc,virtual_reality_workshop,215
2023-03-31T10:59:16,yandex,cpc,virtual_reality_workshop,121
2023-04-01T02:00:08,yandex,cpc,virtual_reality_workshop,166
2023-04-02T11:58:11,yandex,cpc,virtual_reality_workshop,215
2023-04-03T07:26:03,yandex,cpc,virtual_reality_workshop,268
2023-04-04T15:06:35,yandex,cpc,virtual_reality_workshop,252
2023-04-05T17:04:36,yandex,cpc,virtual_reality_workshop,287
2023-04-06T17:05:08,yandex,cpc,virtual_reality_workshop,178
2023-04-07T17:05:58,yandex,cpc,virtual_reality_workshop,118
2023-04-08T07:46:07,yandex,cpc,virtual_reality_workshop,260
2023-04-09T10:48:13,yandex,cpc,virtual_reality_workshop,224
2023-04-10T04:08:15,yandex,cpc,virtual_reality_workshop,216
2023-04-11T10:46:11,yandex,cpc,virtual_reality_workshop,263
2023-04-12T09:24:59,yandex,cpc,virtual_reality_workshop,164
2023-04-13T02:23:58,yandex,cpc,virtual_reality_workshop,132
2023-04-14T03:38:30,yandex,cpc,virtual_reality_workshop,245
2023-04-15T05:50:31,yandex,cpc,virtual_reality_workshop,278
2023-04-16T15:46:54,yandex,cpc,virtual_reality_workshop,251
2023-04-17T23:06:54,yandex,cpc,virtual_reality_workshop,166
2023-04-18T19:33:29,yandex,cpc,virtual_reality_workshop,289
2023-04-19T23:05:42,yandex,cpc,virtual_reality_workshop,167
2023-04-20T23:50:35,yandex,cpc,virtual_reality_workshop,177
2023-04-21T16:24:17,yandex,cpc,virtual_reality_workshop,121
2023-04-22T11:37:19,yandex,cpc,virtual_reality_workshop,143
